User ID,Blogger ID,Date,浏览,点赞,评论,label,cumsum_view,cumsum_like,cumsum_comment,total_view,total_like,total_comment,fan_count,user_count,fan_ratio,user_id_enc
U14990,B12,2024-07-11,1,0,0,0,1,0,0,34251,16838,6110,2076,11759,0.1765456246279445,4
U14990,B12,2024-07-14,2,0,0,0,3,0,0,34251,16838,6110,2076,11759,0.1765456246279445,4
U14990,B12,2024-07-16,1,0,0,0,4,0,0,34251,16838,6110,2076,11759,0.1765456246279445,4
U14990,B12,2024-07-17,2,0,0,0,6,0,0,34251,16838,6110,2076,11759,0.1765456246279445,4
U14990,B13,2024-07-17,1,1,1,1,1,1,1,46166,26749,8553,2691,12770,0.2107282693813625,4
U14990,B15,2024-07-14,1,1,0,0,1,1,0,77381,39792,17774,3306,16053,0.2059428144272098,4
U14990,B15,2024-07-16,1,0,1,0,2,1,1,77381,39792,17774,3306,16053,0.2059428144272098,4
U14990,B15,2024-07-17,2,2,0,0,4,3,1,77381,39792,17774,3306,16053,0.2059428144272098,4
U14990,B19,2024-07-17,2,2,0,0,2,2,0,35300,22398,6313,1523,9206,0.1654355854877253,4
U14990,B21,2024-07-16,1,1,0,0,1,1,0,104652,61000,21450,4457,17259,0.2582420765977171,4
U14990,B21,2024-07-17,2,2,0,0,3,3,0,104652,61000,21450,4457,17259,0.2582420765977171,4
U14990,B23,2024-07-14,1,0,0,0,1,0,0,35391,19972,5840,2085,9943,0.2096952629990948,4
U14990,B23,2024-07-17,2,2,0,0,3,2,0,35391,19972,5840,2085,9943,0.2096952629990948,4
U14990,B24,2024-07-14,1,1,0,0,1,1,0,29281,16999,5525,1504,9318,0.1614080274737068,4
U14990,B24,2024-07-17,2,1,0,0,3,2,0,29281,16999,5525,1504,9318,0.1614080274737068,4
U14990,B25,2024-07-17,1,1,0,0,1,1,0,21902,16014,3633,1259,7820,0.1609974424552429,4
U14990,B26,2024-07-17,1,0,0,0,1,0,0,16831,7289,2854,1105,5503,0.2007995638742504,4
U14990,B27,2024-07-17,1,0,1,0,1,0,1,15643,8624,2903,1014,5842,0.1735706949674769,4
U14990,B4,2024-07-14,1,0,0,0,1,0,0,40889,21160,8222,2297,10932,0.210117087449689,4
U14990,B4,2024-07-17,2,2,0,0,3,2,0,40889,21160,8222,2297,10932,0.210117087449689,4
U14990,B4,2024-07-18,1,1,0,0,4,3,0,40889,21160,8222,2297,10932,0.210117087449689,4
U14990,B42,2024-07-14,1,1,0,0,1,1,0,21693,14173,5865,596,6501,0.0916782033533302,4
U14990,B43,2024-07-14,1,1,0,0,1,1,0,15254,10770,3825,606,5183,0.1169207022959675,4
U14990,B45,2024-07-11,1,1,0,0,1,1,0,29327,20193,7685,1251,9063,0.138033763654419,4
U14990,B45,2024-07-14,1,1,0,0,2,2,0,29327,20193,7685,1251,9063,0.138033763654419,4
U14990,B45,2024-07-16,1,1,0,0,3,3,0,29327,20193,7685,1251,9063,0.138033763654419,4
U14990,B45,2024-07-17,2,2,0,0,5,5,0,29327,20193,7685,1251,9063,0.138033763654419,4
U14990,B47,2024-07-14,1,1,0,0,1,1,0,28436,20525,7251,735,7858,0.0935352506999236,4
U14990,B5,2024-07-17,2,1,0,0,2,1,0,104360,69199,19113,4468,17041,0.262191185963265,4
U14990,B5,2024-07-18,1,1,0,0,3,2,0,104360,69199,19113,4468,17041,0.262191185963265,4
U14990,B52,2024-07-14,1,1,0,0,1,1,0,21143,14940,5407,641,6314,0.1015204307887234,4
U14990,B59,2024-07-11,1,1,0,0,1,1,0,34498,24524,8838,1081,9173,0.1178458519568298,4
