User ID,Blogger ID,Date,浏览,点赞,评论,label
U14990,B12,2024-07-22,3,1,0,0
U14990,B15,2024-07-22,2,2,0,0
U14990,B21,2024-07-22,1,1,0,0
U14990,B23,2024-07-22,2,1,0,0
U14990,B24,2024-07-22,2,2,1,0
U14990,B4,2024-07-22,2,1,0,0
U14990,B42,2024-07-22,1,1,0,0
U14990,B43,2024-07-22,1,1,0,0
U14990,B45,2024-07-22,1,1,0,0
U14990,B47,2024-07-22,1,1,0,0
U14990,B52,2024-07-22,1,1,0,0
U14990,B59,2024-07-22,1,1,0,0
U52010,B13,2024-07-22,2,1,2,0
U52010,B15,2024-07-22,1,0,0,0
U52010,B20,2024-07-22,1,1,0,0
U52010,B21,2024-07-22,1,0,0,0
U52010,B24,2024-07-22,2,1,0,0
U52010,B25,2024-07-22,1,1,0,0
U52010,B3,2024-07-22,1,1,0,0
U52010,B5,2024-07-22,1,1,0,0
U52010,B7,2024-07-22,2,2,0,0
U52010,B72,2024-07-22,1,0,1,0
U52010,B8,2024-07-22,1,1,0,0
U5769,B13,2024-07-22,1,1,0,0
U5769,B15,2024-07-22,1,0,0,0
U5769,B24,2024-07-22,1,1,0,0
U5769,B34,2024-07-22,1,0,0,0
U5769,B42,2024-07-22,1,0,1,0
U5769,B43,2024-07-22,1,1,0,0
U5769,B44,2024-07-22,1,1,0,0
U5769,B45,2024-07-22,1,0,0,0
U5769,B47,2024-07-22,1,1,0,0
U5769,B52,2024-07-22,1,0,1,0
U5769,B59,2024-07-22,1,1,0,0
U6749,B13,2024-07-22,1,1,0,0
U6749,B17,2024-07-22,2,2,2,0
U6749,B24,2024-07-22,2,1,1,0
U6749,B25,2024-07-22,1,1,0,0
U6749,B53,2024-07-22,1,1,0,0
U6749,B59,2024-07-22,1,0,0,0
U7,B12,2024-07-22,1,0,0,0
U7,B13,2024-07-22,1,0,1,0
U7,B21,2024-07-22,1,1,0,0
U7,B23,2024-07-22,1,1,1,0
U7,B24,2024-07-22,1,0,0,0
U7,B27,2024-07-22,2,1,1,0
U7,B4,2024-07-22,1,0,0,0
U7,B6,2024-07-22,1,1,1,0
U7,B7,2024-07-22,3,2,1,0
