User ID,Blogger ID,Date,浏览,点赞,评论,label,already_followed,cumsum_view,cumsum_like,cumsum_comment,total_浏览,total_点赞,total_评论,fan_count,user_count,fan_ratio
U14990,B12,2024-07-22,3,1,0,0,False,6.0,0.0,0.0,34251,16838,6110,2076,11759,0.17654562462794454
U14990,B15,2024-07-22,2,2,0,0,False,4.0,3.0,1.0,77381,39792,17774,3306,16053,0.20594281442720988
U14990,B21,2024-07-22,1,1,0,0,False,3.0,3.0,0.0,104652,61000,21450,4457,17259,0.25824207659771714
U14990,B23,2024-07-22,2,1,0,0,False,3.0,2.0,0.0,35391,19972,5840,2085,9943,0.20969526299909483
U14990,B24,2024-07-22,2,2,1,0,False,3.0,2.0,0.0,29281,16999,5525,1504,9318,0.1614080274737068
U14990,B4,2024-07-22,2,1,0,0,False,4.0,3.0,0.0,40889,21160,8222,2297,10932,0.210117087449689
U14990,B42,2024-07-22,1,1,0,0,False,1.0,1.0,0.0,21693,14173,5865,596,6501,0.09167820335333025
U14990,B43,2024-07-22,1,1,0,0,False,1.0,1.0,0.0,15254,10770,3825,606,5183,0.11692070229596759
U14990,B45,2024-07-22,1,1,0,0,False,5.0,5.0,0.0,29327,20193,7685,1251,9063,0.13803376365441908
U14990,B47,2024-07-22,1,1,0,0,False,1.0,1.0,0.0,28436,20525,7251,735,7858,0.09353525069992365
U14990,B52,2024-07-22,1,1,0,0,False,1.0,1.0,0.0,21143,14940,5407,641,6314,0.10152043078872347
U14990,B59,2024-07-22,1,1,0,0,False,4.0,4.0,0.0,34498,24524,8838,1081,9173,0.11784585195682983
U52010,B13,2024-07-22,2,1,2,0,False,5.0,2.0,2.0,46166,26749,8553,2691,12770,0.21072826938136258
U52010,B15,2024-07-22,1,0,0,0,False,4.0,2.0,0.0,77381,39792,17774,3306,16053,0.20594281442720988
U52010,B20,2024-07-22,1,1,0,0,False,2.0,1.0,1.0,35530,22874,8240,1884,9864,0.19099756690997566
U52010,B21,2024-07-22,1,0,0,0,False,6.0,3.0,2.0,104652,61000,21450,4457,17259,0.25824207659771714
U52010,B24,2024-07-22,2,1,0,0,False,4.0,3.0,0.0,29281,16999,5525,1504,9318,0.1614080274737068
U52010,B25,2024-07-22,1,1,0,0,False,2.0,1.0,0.0,21902,16014,3633,1259,7820,0.16099744245524297
U52010,B3,2024-07-22,1,1,0,0,False,5.0,3.0,1.0,41470,22988,6297,2187,11256,0.19429637526652452
U52010,B5,2024-07-22,1,1,0,0,False,4.0,2.0,0.0,104360,69199,19113,4468,17041,0.26219118596326507
U52010,B7,2024-07-22,2,2,0,0,False,6.0,3.0,1.0,39483,23576,7347,2218,11661,0.19020667181202297
U52010,B72,2024-07-22,1,0,1,0,False,4.0,0.0,2.0,25217,12259,3744,1575,9204,0.17112125162972622
U52010,B8,2024-07-22,1,1,0,0,False,6.0,6.0,0.0,18370,12604,3047,1109,6997,0.15849649849935687
U5769,B13,2024-07-22,1,1,0,0,False,1.0,1.0,0.0,46166,26749,8553,2691,12770,0.21072826938136258
U5769,B15,2024-07-22,1,0,0,0,False,1.0,0.0,0.0,77381,39792,17774,3306,16053,0.20594281442720988
U5769,B24,2024-07-22,1,1,0,0,False,1.0,1.0,0.0,29281,16999,5525,1504,9318,0.1614080274737068
U5769,B34,2024-07-22,1,0,0,0,False,1.0,0.0,0.0,14928,7321,2904,1136,5785,0.19636992221261884
U5769,B42,2024-07-22,1,0,1,0,False,3.0,1.0,2.0,21693,14173,5865,596,6501,0.09167820335333025
U5769,B43,2024-07-22,1,1,0,0,False,2.0,2.0,0.0,15254,10770,3825,606,5183,0.11692070229596759
U5769,B44,2024-07-22,1,1,0,0,False,3.0,2.0,1.0,29742,18301,7395,1571,7982,0.1968178401403157
U5769,B45,2024-07-22,1,0,0,0,False,3.0,2.0,0.0,29327,20193,7685,1251,9063,0.13803376365441908
U5769,B47,2024-07-22,1,1,0,0,False,4.0,3.0,1.0,28436,20525,7251,735,7858,0.09353525069992365
U5769,B52,2024-07-22,1,0,1,0,False,2.0,1.0,1.0,21143,14940,5407,641,6314,0.10152043078872347
U5769,B59,2024-07-22,1,1,0,0,False,4.0,3.0,0.0,34498,24524,8838,1081,9173,0.11784585195682983
U6749,B13,2024-07-22,1,1,0,0,False,0.0,0.0,0.0,46166,26749,8553,2691,12770,0.21072826938136258
U6749,B17,2024-07-22,2,2,2,0,False,1.0,1.0,1.0,22450,16288,5272,999,8599,0.11617629956971741
U6749,B24,2024-07-22,2,1,1,0,False,3.0,3.0,0.0,29281,16999,5525,1504,9318,0.1614080274737068
U6749,B25,2024-07-22,1,1,0,0,False,6.0,6.0,0.0,21902,16014,3633,1259,7820,0.16099744245524297
U6749,B53,2024-07-22,1,1,0,0,False,5.0,3.0,0.0,3931,2462,1026,317,2416,0.13120860927152317
U6749,B59,2024-07-22,1,0,0,0,False,1.0,1.0,0.0,34498,24524,8838,1081,9173,0.11784585195682983
U7,B12,2024-07-22,1,0,0,0,False,5.0,2.0,2.0,34251,16838,6110,2076,11759,0.17654562462794454
U7,B13,2024-07-22,1,0,1,0,False,6.0,2.0,0.0,46166,26749,8553,2691,12770,0.21072826938136258
U7,B21,2024-07-22,1,1,0,0,False,1.0,1.0,0.0,104652,61000,21450,4457,17259,0.25824207659771714
U7,B23,2024-07-22,1,1,1,0,False,2.0,1.0,1.0,35391,19972,5840,2085,9943,0.20969526299909483
U7,B24,2024-07-22,1,0,0,0,False,3.0,0.0,0.0,29281,16999,5525,1504,9318,0.1614080274737068
U7,B27,2024-07-22,2,1,1,0,False,4.0,1.0,2.0,15643,8624,2903,1014,5842,0.1735706949674769
U7,B4,2024-07-22,1,0,0,0,False,6.0,4.0,2.0,40889,21160,8222,2297,10932,0.210117087449689
U7,B6,2024-07-22,1,1,1,0,False,4.0,3.0,3.0,19075,9971,2831,1128,7340,0.1536784741144414
U7,B7,2024-07-22,3,2,1,0,False,4.0,1.0,3.0,39483,23576,7347,2218,11661,0.19020667181202297
