User ID,Blogger ID,Date,浏览,点赞,评论,label,cumsum_view,cumsum_like,cumsum_comment
U14990,B12,2024-07-11,1,0,0,0,1,0,0
U14990,B12,2024-07-14,2,0,0,0,3,0,0
U14990,B12,2024-07-16,1,0,0,0,4,0,0
U14990,B12,2024-07-17,2,0,0,0,6,0,0
U14990,B13,2024-07-17,1,1,1,1,1,1,1
U14990,B15,2024-07-14,1,1,0,0,1,1,0
U14990,B15,2024-07-16,1,0,1,0,2,1,1
U14990,B15,2024-07-17,2,2,0,0,4,3,1
U14990,B19,2024-07-17,2,2,0,0,2,2,0
U14990,B21,2024-07-16,1,1,0,0,1,1,0
U14990,B21,2024-07-17,2,2,0,0,3,3,0
U14990,B23,2024-07-14,1,0,0,0,1,0,0
U14990,B23,2024-07-17,2,2,0,0,3,2,0
U14990,B24,2024-07-14,1,1,0,0,1,1,0
U14990,B24,2024-07-17,2,1,0,0,3,2,0
U14990,B25,2024-07-17,1,1,0,0,1,1,0
U14990,B26,2024-07-17,1,0,0,0,1,0,0
U14990,B27,2024-07-17,1,0,1,0,1,0,1
U14990,B4,2024-07-14,1,0,0,0,1,0,0
U14990,B4,2024-07-17,2,2,0,0,3,2,0
U14990,B4,2024-07-18,1,1,0,0,4,3,0
U14990,B42,2024-07-14,1,1,0,0,1,1,0
U14990,B43,2024-07-14,1,1,0,0,1,1,0
U14990,B45,2024-07-11,1,1,0,0,1,1,0
U14990,B45,2024-07-14,1,1,0,0,2,2,0
U14990,B45,2024-07-16,1,1,0,0,3,3,0
U14990,B45,2024-07-17,2,2,0,0,5,5,0
U14990,B47,2024-07-14,1,1,0,0,1,1,0
U14990,B5,2024-07-17,2,1,0,0,2,1,0
U14990,B5,2024-07-18,1,1,0,0,3,2,0
U14990,B52,2024-07-14,1,1,0,0,1,1,0
U14990,B59,2024-07-11,1,1,0,0,1,1,0
U14990,B59,2024-07-14,1,1,0,0,2,2,0
U14990,B59,2024-07-16,1,1,0,0,3,3,0
U14990,B59,2024-07-17,1,1,0,0,4,4,0
U14990,B60,2024-07-17,1,1,0,0,1,1,0
U14990,B60,2024-07-18,1,0,1,0,2,1,1
U14990,B72,2024-07-17,1,1,0,0,1,1,0
U14990,B76,2024-07-17,2,1,1,0,2,1,1
U52010,B12,2024-07-16,2,2,0,0,2,2,0
U52010,B12,2024-07-18,1,0,0,0,3,2,0
U52010,B13,2024-07-14,2,1,2,0,2,1,2
U52010,B13,2024-07-17,1,1,0,0,3,2,2
U52010,B13,2024-07-18,1,0,0,0,4,2,2
U52010,B13,2024-07-19,1,0,0,0,5,2,2
U52010,B15,2024-07-14,1,0,0,0,1,0,0
U52010,B15,2024-07-15,1,1,0,0,2,1,0
U52010,B15,2024-07-18,1,0,0,0,3,1,0
U52010,B15,2024-07-19,1,1,0,0,4,2,0
U52010,B2,2024-07-13,2,1,1,1,2,1,1
U52010,B2,2024-07-18,1,0,1,0,3,1,2
U52010,B20,2024-07-13,1,0,1,0,1,0,1
U52010,B20,2024-07-14,1,1,0,0,2,1,1
U52010,B21,2024-07-13,1,1,1,0,1,1,1
U52010,B21,2024-07-14,1,0,0,0,2,1,1
U52010,B21,2024-07-15,1,1,0,0,3,2,1
U52010,B21,2024-07-18,2,0,1,0,5,2,2
U52010,B21,2024-07-19,1,1,0,0,6,3,2
U52010,B23,2024-07-16,1,0,0,1,1,0,0
U52010,B23,2024-07-18,1,1,0,0,2,1,0
U52010,B24,2024-07-14,2,1,0,0,2,1,0
U52010,B24,2024-07-16,2,2,0,0,4,3,0
U52010,B25,2024-07-14,1,1,0,0,1,1,0
U52010,B25,2024-07-19,1,0,0,0,2,1,0
U52010,B3,2024-07-13,1,1,1,1,1,1,1
U52010,B3,2024-07-14,1,1,0,0,2,2,1
U52010,B3,2024-07-17,1,1,0,0,3,3,1
U52010,B3,2024-07-18,1,0,0,0,4,3,1
U52010,B3,2024-07-19,1,0,0,0,5,3,1
U52010,B34,2024-07-16,1,1,0,0,1,1,0
U52010,B4,2024-07-13,1,1,1,0,1,1,1
U52010,B4,2024-07-18,1,0,0,0,2,1,1
U52010,B4,2024-07-19,1,1,0,0,3,2,1
U52010,B5,2024-07-13,1,1,0,0,1,1,0
U52010,B5,2024-07-14,1,1,0,0,2,2,0
U52010,B5,2024-07-18,1,0,0,0,3,2,0
U52010,B5,2024-07-19,1,0,0,0,4,2,0
U52010,B53,2024-07-15,1,0,1,0,1,0,1
U52010,B6,2024-07-19,1,0,0,0,1,0,0
U52010,B60,2024-07-15,1,1,0,0,1,1,0
U52010,B60,2024-07-19,1,0,0,0,2,1,0
U52010,B7,2024-07-13,1,0,1,0,1,0,1
U52010,B7,2024-07-14,2,2,0,0,3,2,1
U52010,B7,2024-07-16,1,0,0,0,4,2,1
U52010,B7,2024-07-18,1,1,0,0,5,3,1
U52010,B7,2024-07-19,1,0,0,0,6,3,1
U52010,B72,2024-07-14,1,0,1,0,1,0,1
U52010,B72,2024-07-16,1,0,0,1,2,0,1
U52010,B72,2024-07-17,1,0,1,0,3,0,2
U52010,B72,2024-07-18,1,0,0,0,4,0,2
U52010,B8,2024-07-13,1,1,0,0,1,1,0
